,learner,dataset_id,non-monotone,occurrences,significance
88,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,912,True,3,1.0
89,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,913,True,2,1.0
90,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,914,True,1,0.3333333333333324
91,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,917,True,1,0.2914478619654914
92,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,923,True,4,0.29411764705882504
93,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,930,True,1,0.5356089338390222
94,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,934,True,1,0.8
95,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,958,False,0,0.0
96,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,959,True,1,0.07124125874125892
97,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,966,True,2,0.21019108280254792
98,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,976,False,0,0.0
99,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,979,True,1,0.39532449406838827
100,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,980,True,2,0.3508713136729223
101,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,991,True,1,0.21448467966573806
102,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1041,True,1,0.4977643155920958
103,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1042,True,3,0.6489001692047378
104,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1053,True,2,0.11174089068825895
105,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1067,True,1,0.707136237256719
106,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1083,False,0,0.0
107,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1084,False,0,0.0
108,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1085,True,1,1.0
109,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1086,False,0,0.0
110,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1087,False,0,0.0
111,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1088,False,0,0.0
112,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1120,True,1,0.15674891146589315
113,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1128,True,1,0.16682113067655252
114,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1130,True,3,0.35024322446143147
115,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1134,True,1,0.3002084781097985
116,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1161,True,1,0.1429516876240904
